feature_id	gene_id	control1_.subset.sorted	control2_.subset.sorted	control3_.subset.sorted	treatment1_.subset.sorted	treatment2_.subset.sorted	treatment3_.subset.sorted
chr4_128872522_128872574_+@UTR3	JADE1	500	503	465	604	533	550
chr4_128873506_128873558_+@UTR3	JADE1	174	224	172	235	145	129
chr4_128874506_128874557_+@UTR3	JADE1	293	368	366	445	282	323
chr4_128874990_128875041_+@UTR3	JADE1	111	154	147	214	66	98
chr4_128875050_128875102_+@UTR3	JADE1	77	115	84	131	49	84
chr6_31661210_31661262_-@UTR3	GPANK1	39	50	42	41	22	17
chr6_31662058_31662110_-@UTR3	GPANK1	110	83	69	49	41	48
chr8_94488604_94488656_-@UTR3	VIRMA	473	548	510	550	376	388
chr8_94510952_94511004_-@UTR3	VIRMA	39	35	54	110	111	79
chr14_32734322_32734374_+@UTR3	AKAP6	14	10	16	3	6	2
chr14_32830180_32830232_+@UTR3	AKAP6	29	35	56	53	26	50
chr14_32831020_32831072_+@UTR3	AKAP6	9	6	5	4	2	1
chr19_53942496_53942548_+@UTR3	CACNG7	8	5	6	20	12	10
chr19_53943004_53943056_+@UTR3	CACNG7	4	10	1	21	9	22
chr9_745616_745668_+@UTR3	KANK1	138	181	194	225	127	112
chr9_746030_746082_+@UTR3	KANK1	88	131	133	156	69	69
chr19_50661738_50661790_-@UTR3-EX	SHANK1	15	7	18	2	3	16
chr19_50661880_50661932_-@UTR3	SHANK1	23	21	21	16	11	11
chr8_66680196_66680248_+@UTR3	SGK3	99	103	70	60	35	32
chr8_66680452_66680504_+@UTR3	SGK3	63	56	38	27	13	10
chr8_66859636_66859688_+@UTR3	SGK3	81	132	91	107	89	119
chr8_66860044_66860096_+@UTR3	SGK3	75	100	85	131	70	56
chr8_66860594_66860646_+@UTR3	SGK3	64	58	72	104	54	68
chr8_66861832_66861884_+@UTR3	SGK3	24	18	23	46	48	32
chr10_89582964_89583016_-@UTR3	PANK1	29	27	26	32	14	13
chr10_89583248_89583300_-@UTR3	PANK1	58	72	61	71	51	46
chr10_89584070_89584122_-@UTR3	PANK1	119	113	93	110	86	90
chr10_123163856_123163908_+@UTR3	BUB3	1552	1624	1527	3071	2738	2678
chr10_123164722_123164774_+@UTR3	BUB3	583	885	854	1116	610	533
chr10_123165100_123165151_+@UTR3	BUB3	3491	3679	3484	4516	3259	2823
chr10_123165338_123165389_+@UTR3	BUB3	422	377	405	476	494	448
chr12_52897172_52897224_-@UTR3	KRT8	82	81	83	155	114	151
chr12_52947442_52947494_-@UTR3	KRT8	27	10	6	1	0	5
chr12_52947948_52948000_-@UTR3	KRT8	18	36	24	4	8	10
chr12_52948624_52948676_-@UTR3	KRT8	24	8	15	8	4	3
chr3_189957038_189957090_-@UTR3	P3H2	36	40	29	49	48	52
chr3_189957844_189957896_-@UTR3	P3H2	9	8	4	23	30	25
chr8_41653204_41653256_-@UTR3	ANK1	20	29	9	13	12	14
chr8_41654674_41654726_-@UTR3	ANK1	139	168	94	81	82	90
chr8_41655020_41655072_-@UTR3	ANK1	112	113	145	97	116	102
chr8_41655350_41655402_-@UTR3	ANK1	94	106	72	41	66	62
chr4_128884228_128884280_-@UTR3	SCLT1	109	155	142	120	70	78
chr4_129037794_129037846_-@UTR3	SCLT1	18	28	19	44	38	72
chr8_143744616_143744668_+@UTR3	IQANK1	43	42	27	25	33	32
chr8_143744840_143744892_+@UTR3	IQANK1	48	34	38	42	30	37
chr14_76058900_76058952_+@UTR3	IFT43	17	10	16	9	8	8
chr14_76083664_76083716_+@UTR3	IFT43	91	93	94	170	169	172
chr15_35370946_35370998_-@UTR3	DPH6	13	28	13	22	7	8
chr15_35372128_35372180_-@UTR3	DPH6	91	133	125	161	143	158
chr15_35521012_35521064_-@UTR3	DPH6	15	14	16	14	4	5
