Gene	Vector_a	Vector_b	CP	TP	CD	TD	PolyAIndex	No.PAsites	PolyASites	DeltaU	MaxPASite	MaxDeltaU	G_Pval	AdjG_Pval	Symbol
PANK1	0.13752654467986947,0.3200216428188584,0.5424518125012722	0.110066098573256,0.32660216997298647,0.5633317314537575	0.615501674958312	0.636184775262002	0.321795022542824	0.3046004216865968	-0.0476830639955541	3	chr10_89582964_89583016_-@UTR3,chr10_89583248_89583300_-@UTR3,chr10_89584070_89584122_-@UTR3	-0.026443684891621452,0.007199532957924359,0.021156082465529802	chr10_89582964_89583016_-@UTR3	-0.0264436848916214	0.4746425288425138	0.5763516421659096	
P3H2	0.8373737373737374,0.16262626262626265	0.6570882820882821,0.3429117179117179	0.2129853868997867	0.3820342692594635	0.8456781701332945	0.6766292877736176	-0.8429476074079051	2	chr3_189957038_189957090_-@UTR3,chr3_189957844_189957896_-@UTR3	-0.1795878700825071,0.16879397421571696	chr3_189957038_189957090_-@UTR3	-0.1795878700825071	1.6347815281478807e-05	4.631880996418995e-05	
SGK3	0.21636522654495896,0.12511687097697416,0.24075605877077863,0.20771207756149884,0.15726869496578294,0.0527810711800065	0.11351025670922375,0.04348634799969408,0.296227789876312,0.22632761397741588,0.20273856366130477,0.11770942777604941	0.2458880333974349	0.116297127702571	0.3287417268669141	0.4209805950875952	1.0801860594999313	6	chr8_66680196_66680248_+@UTR3,chr8_66680452_66680504_+@UTR3,chr8_66859636_66859688_+@UTR3,chr8_66860044_66860096_+@UTR3,chr8_66860594_66860646_+@UTR3,chr8_66861832_66861884_+@UTR3	-0.10223689850589975,-0.08103286442916621,0.05560144289786323,0.018909507811765036,0.045703307758956174,0.06513211669093927	chr8_66680196_66680248_+@UTR3	-0.1022368985058997	1.0337578507903818e-08	8.786941731718245e-08	
IFT43	0.13331644383424318,0.8666835561657568	0.046640504722125775,0.9533594952778742	0.1351322152233947	0.0486380886964415	0.8669610070944288	0.953455133621382	1.4742132087626811	2	chr14_76058900_76058952_+@UTR3,chr14_76083664_76083716_+@UTR3	-0.08940629612894704,0.08570619259931345	chr14_76058900_76058952_+@UTR3	-0.089406296128947	2.364824342942884e-06	8.040402766005805e-06	
DPH6	0.11788642729819199,0.7787980646804176,0.10331550802139038	0.06797109936303097,0.8899356400024313,0.04209326063453769	0.1097545044584197	0.0494305814810414	0.6322250084511665	0.6750501711736662	1.1508043679741724	3	chr15_35370946_35370998_-@UTR3,chr15_35372128_35372180_-@UTR3,chr15_35521012_35521064_-@UTR3	-0.05055395793392793,0.11023305068691425,-0.06177955473716914	chr15_35372128_35372180_-@UTR3	0.1102330506869142	0.0004058066023153	0.0007665235821512	
VIRMA	0.922683046277204,0.077316953722796	0.8120807910258684,0.18791920897413159	0.0794586824064491	0.1898038850959428	0.9228600454054644	0.8125148427159705	-1.2562327473956267	2	chr8_94488604_94488656_-@UTR3,chr8_94510952_94511004_-@UTR3	-0.11038227958168723,0.11047135750114274	chr8_94510952_94511004_-@UTR3	0.1104713575011427	1.3712842633659412e-06	5.8279581193052505e-06	
SHANK1	0.3687584345479083,0.6312415654520916	0.30599647266313934,0.6940035273368607	0.7051907924332265	0.7495635999870681	0.5196147985673035	0.4752419910134619	-0.0880372573728728	2	chr19_50661738_50661790_-@UTR3-EX,chr19_50661880_50661932_-@UTR3	-0.04313807285676613,0.06643432187896792	chr19_50661880_50661932_-@UTR3	0.0664343218789679	0.7071793512289609	0.7071793512289609	
KANK1	0.5946732818028587,0.40532671819714117	0.619098298387524,0.38090170161247605	0.6359557007148261	0.6575213280733371	0.4687755713510987	0.4472099439925878	-0.0481114179575771	2	chr9_745616_745668_+@UTR3,chr9_746030_746082_+@UTR3	0.02464390165845698,-0.023797403770698555	chr9_745616_745668_+@UTR3	0.0246439016584569	0.4091496314502136	0.5350418257425871	
SCLT1	0.8624166098981035,0.13758339010189657	0.6332851550737729,0.366714844926227	0.1378753119487306	0.366929192194783	0.8624631327385432	0.6334092524924906	-1.412137537271135	2	chr4_128884228_128884280_-@UTR3,chr4_129037794_129037846_-@UTR3	-0.2273429494232979,0.22815538689950943	chr4_129037794_129037846_-@UTR3	0.2281553868995094	2.743103711911934e-05	6.661823300357555e-05	
ANK1	0.05087701966982789,0.3594726905514577,0.34386964348436955,0.24578064629434496	0.050583849866111724,0.327353425277411,0.406330106091233,0.21573261876524427	0.5310866950758781	0.5316170078809841	0.2205353665801671	0.2197984291344789	-0.0014398740033087	4	chr8_41653204_41653256_-@UTR3,chr8_41654674_41654726_-@UTR3,chr8_41655020_41655072_-@UTR3,chr8_41655350_41655402_-@UTR3	0.0007690611459749697,-0.031293104624955825,0.06297667776765276,-0.029078795142339908	chr8_41655020_41655072_-@UTR3	0.0629766777676527	0.09862347283684	0.1524180943842074	
